productID,name,supplierID,price,quantity,product_description
1,3D Pen,117,28844.0,59038,In congue. Etiam justo. Etiam pretium iaculis justo.
2,3D Printer,129,21681.0,78289,Sed ante. Vivamus tortor. Duis mattis egestas metus.
3,3D Printer Bed,103,70.0,77871,"Curabitur gravida nisi at nibh. In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem."
4,3D Printer Controller,7,18497.0,55397,Etiam vel augue. Vestibulum rutrum rutrum neque. Aenean auctor gravida sem.
5,3D Printer Extruder,141,48271.0,54023,Nulla ut erat id mauris vulputate elementum. Nullam varius. Nulla facilisi.
6,3D Printer Filament,160,46004.0,78548,"Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl."
7,3D Printer Heated Bed,50,77475.0,63769,Phasellus sit amet erat. Nulla tempus. Vivamus in felis eu sapien cursus vestibulum.
8,3D Printer Hotend,77,10175.0,50917,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin risus. Praesent lectus."
9,3D Printer LCD Screen,67,87012.0,69008,Aenean lectus. Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum.
10,3D Printer Motherboard,18,68397.0,74695,Etiam vel augue. Vestibulum rutrum rutrum neque. Aenean auctor gravida sem.
11,3D Printer Motor,83,75202.0,67497,"Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus."
12,3D Printer Nozzle,145,29436.0,65139,Pellentesque at nulla. Suspendisse potenti. Cras in purus eu magna vulputate luctus.
13,3D Printer Power Supply,78,67065.0,60058,"Proin eu mi. Nulla ac enim. In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem."
14,3D Scanner,97,94041.0,63627,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Vivamus vestibulum sagittis sapien. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus."
15,3D TV,7,74365.0,66085,Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum. Aliquam non mauris.
16,4K TV,63,33626.0,66745,"Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis."
17,8K TV,56,99559.0,76044,"Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem."
18,Adapter,142,51851.0,73251,Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros. Suspendisse accumsan tortor quis turpis.
19,Airpods,127,90341.0,72466,"Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi. Integer ac neque."
20,Battery,111,44164.0,54688,Duis aliquam convallis nunc. Proin at turpis a pede posuere nonummy. Integer non velit.
21,Bedside Lamp,45,94143.0,59067,"Curabitur at ipsum ac tellus semper interdum. Mauris ullamcorper purus sit amet nulla. Quisque arcu libero, rutrum ac, lobortis vel, dapibus at, diam."
22,CCTV,131,91715.0,63998,Etiam vel augue. Vestibulum rutrum rutrum neque. Aenean auctor gravida sem.
23,CCTV Camera Unit,95,66145.0,67533,"Curabitur gravida nisi at nibh. In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem."
24,CPU,1,30345.0,57968,"Vestibulum quam sapien, varius ut, blandit non, interdum in, ante. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio. Curabitur convallis."
25,Cable,6,434.0,59546,Aenean lectus. Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum.
26,Camera,46,12112.0,59740,"Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam. Suspendisse potenti."
27,Case,79,6012.0,61231,"Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi. Integer ac neque."
28,Ceiling Fan,35,25324.0,73175,"Praesent blandit. Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede."
29,Ceiling Lamp,2,55134.0,78045,Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat.
30,Ceiling Light,61,2658.0,70216,"Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus."
31,Charger,109,71191.0,58041,"Quisque id justo sit amet sapien dignissim vestibulum. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est. Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros."
32,Cooler,104,22605.0,53524,Integer ac leo. Pellentesque ultrices mattis odio. Donec vitae nisi.
33,Curved TV,76,77453.0,68301,"Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus."
34,DVI Cables,124,39352.0,75298,Aenean lectus. Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum.
35,Desktop,31,22562.0,67504,"Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero."
36,Digital Flashlight,89,1449.0,79826,Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem. Quisque ut erat.
37,Digital Wrist Watch,84,66691.0,72584,Phasellus sit amet erat. Nulla tempus. Vivamus in felis eu sapien cursus vestibulum.
38,DisplayPort Cables,194,34940.0,70014,Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum. Integer a nibh.
39,Earpods,161,92494.0,52766,"Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo. In blandit ultrices enim. Lorem ipsum dolor sit amet, consectetuer adipiscing elit."
40,Ethernet Cables,95,82012.0,52390,"Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus."
41,Fan,173,89519.0,66670,"Vestibulum quam sapien, varius ut, blandit non, interdum in, ante. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio. Curabitur convallis."
42,Gaming Cable,185,93351.0,55406,Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum. Integer a nibh.
43,Gaming Desktop,61,53115.0,53552,Aenean lectus. Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum.
44,Gaming Headphone,38,83286.0,56092,Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum. Integer a nibh.
45,Gaming Keyboard,97,41913.0,74326,"Proin eu mi. Nulla ac enim. In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem."
